id;fold;val_score;representation
7;0;tensor(1.9689);[div, div, 1, 2, sub, 4, 9]
7;1;tensor(1.9823);[div, div, 1, 2, sub, 4, 9]
7;2;tensor(1.9656);[div, div, 1, 2, sub, 4, 9]
7;3;tensor(1.9608);[div, div, 1, 2, sub, 4, 9]
7;4;tensor(1.9646);[div, div, 1, 2, sub, 4, 9]
7;5;tensor(1.9672);[div, div, 1, 2, sub, 4, 9]
7;6;tensor(1.9706);[div, div, 1, 2, sub, 4, 9]
7;7;tensor(1.9555);[div, div, 1, 2, sub, 4, 9]
7;8;tensor(1.9788);[div, div, 1, 2, sub, 4, 9]
7;9;tensor(1.9769);[div, div, 1, 2, sub, 4, 9]
